sale_date,store_id,customer_id,product,quantity,price,total,status
2025-07-27,NW-166,8b1ff910-f298-4568-8f85-d7879a818f90,Smartphone,2,1190.42,2380.84,Completed
2025-01-15,NW017,03afe752-6931-46bf-a7f2-f1d57ddba376,Headphones,1,1026.98,1026.98,Completed
2025-03-12,NW055,7d3928fa-7308-4afb-9c1f-0759e812d758,Monitor,1,,575.75,Returned
2025-03-14,NW-142,9670544b-48ea-4a5d-946b-1798f7d40349,Smartphone,5,1084.0,5420.0,Completed
2025-09-16,078-NW,7a87eccb-7518-413b-934e-29ee2534a622,Laptop,3,647.28,1941.84,Returned
2025-11-12,NW-58,bf44f36f-c84e-4d56-adc4-097cbab57428,Tablet,2,91.34,182.68,Completed
2025-10-19,NW-13,1eeb2704-6a48-4ead-a8e5-67b555bb48c4,Tablet,1,769.24,769.24,Completed
2025-06-12,136-NW,a0d3c9ac-531d-4926-9662-22fce6043aba,Monitor,1,840.62,840.62,Completed
2025-09-11,NW042,0420828c-10e6-4e37-b625-dcd990ad2472,Smartphone,2,217.09,434.18,Completed
2025-05-05,NW064,7d1b7ea0-c83e-4fa2-9cd7-27afe3bc188f,Laptop,4,158.85,635.4,Completed
2025-02-07,NW-44,da09c594-5db1-4975-a8d8-f13ff07c2725,Laptop,3,784.53,2353.59,Completed
2025-07-25,NW-136,9ef06d26-e0b2-41dc-af92-74792aecfe9f,Headphones,1,245.15,245.15,Completed
2025-11-29,NW040,2f88323a-b94f-48a6-8cf2-e6755ef544de,Laptop,4,981.68,3926.72,Pending
2025-10-11,NW153,d626dd2a-25e7-4573-8670-cd1bcf28a2b0,Headphones,4,104.32,417.28,Completed
2025-04-09,NW020,dce30ad6-948c-4c3e-88bf-b2cc81c52b89,Headphones,5,60.19,300.95,Completed
2025-07-14,NW-95,6a710e0a-163f-43b3-9ca5-6e6cd775a4f4,Tablet,5,176.4,882.0,
2025-07-01,NW083,776167fe-ab6b-42e6-bc19-62c5a0ab8a8d,Headphones,1,746.88,746.88,Completed
2025-10-05,NW006,e2c97216-9139-4ec3-be84-079796e0ecc7,Monitor,5,661.28,3306.3999999999996,Completed
2025-03-26,124-NW,0dd1bac3-c8fc-412b-bf78-c36c84ee5d5a,Smartphone,4,430.44,1721.76,Completed
2025-06-20,114-NW,42a807fa-c42e-4490-abc9-e09a7a078d75,Laptop,4,537.81,2151.24,Completed
2025-07-22,NW172,a5490655-d3d6-4913-8cb8-d02fd348b59f,Tablet,1,556.26,556.26,Completed
2024-12-29,NW135,4625ed31-fbfd-44a2-83bc-faa71939de34,Headphones,3,913.06,2739.18,Completed
2025-01-01,084-NW,3f8a9957-0f9c-41ea-939c-66fc49fe0662,Monitor,4,177.29,709.16,Completed
2025-10-02,066-NW,f2f7253b-4210-44de-9c54-e07014e97d7d,Headphones,5,594.32,2971.6000000000004,Completed
2025-09-12,171-NW,9a67cddc-4b27-4238-9503-7ac5c98926a4,Laptop,4,721.8,2887.2,Cancelled
2025-07-07,061-NW,b8320d44-0566-4ddb-897a-126c0ef953be,Laptop,1,620.51,620.51,Completed
2025-05-25,140-NW,d03f84cd-1ce6-41ba-8da4-7998a4b038c6,Laptop,5,267.76,1338.8,Completed
2025-12-19,NW-129,2f1e5775-98ac-44b2-8db3-f83a41d7a115,Laptop,2,988.31,1976.62,Completed
2025-02-07,069-NW,3fc8b3a8-1a92-4b6a-a4cb-c106457e7d1b,Headphones,1,783.22,783.22,Completed
2025-01-12,167-NW,91b2c538-8efa-4a8f-930d-cb1044334b57,Laptop,1,123.66,123.66,Pending
2025-12-06,NW-128,445a29f5-4339-4899-bec0-9279ec1d4d82,Monitor,1,126.96,126.96,Completed
2025-06-15,NW028,078ef985-0e88-43b3-a18b-3fba2f686e7d,Smartphone,3,1019.8,3059.3999999999996,Completed
2025-10-12,NW024,14b3fdde-8a9e-421c-b937-03ef3b4b6fbc,Monitor,4,508.71,2034.84,Pending
2025-05-09,NW-23,96383960-6853-416f-b3d4-f04485681f2f,Tablet,2,365.81,731.62,Returned
2025-06-16,011-NW,f0f8ec8b-3553-498b-8fba-d4b0052642c7,Monitor,2,,1506.66,Completed
